"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",산새소리(구.전원그림),부산광역시 북구 만덕1로104번길 46(덕천동),부산광역시 북구 구포동 1239-21,35.21528653,129.0252588,부산광역시 북구청,부산광역시 북부경찰서,Y,1,10,2019-12-26
"어린이집",장선,부산광역시 북구 시랑로114번길 45(구포동),부산광역시 북구 구포동 1255-2,35.1942751,129.0086871,부산광역시 북구청,부산광역시 북부경찰서,Y,3,7,2019-12-26
"어린이집",애린,부산광역시 북구 낙동북로681번길 21(구포동),부산광역시 북구 구포동 986-3,35.20175376,128.9995311,부산광역시 북구청,부산광역시 북부경찰서,Y,1,7,2019-12-26
"어린이집",숲속은성,부산광역시 북구 낙동북로772번길 32(구포동),부산광역시 북구 구포동 785-9,35.19753049,129.0048765,부산광역시 북구청,부산광역시 북부경찰서,Y,1,8,2019-12-26
"어린이집",서광자연(구.숲속자연),부산광역시 북구 덕천로381번길 41(만덕동),부산광역시 북구 만덕동 87-1,35.21187311,129.0449481,부산광역시 북구청,부산광역시 북부경찰서,Y,2,5,2019-12-26
"어린이집",두란노,부산광역시 북구 모분재로 151(구포동),부산광역시 북구 덕천동 799-3,35.1966994,129.0128176,부산광역시 북구청,부산광역시 북부경찰서,Y,2,5,2019-12-26
"어린이집",덕양,부산광역시 북구 함박봉로 27(덕천동),부산광역시 북구 덕천동 132-73,35.21019131,129.0225911,부산광역시 북구청,부산광역시 북부경찰서,Y,1,8,2019-12-26
"어린이집",21세기,부산광역시 북구 금곡대로 330번길 20(화명동),부산광역시 북구 화명동 1411-1,35.23771876,129.0150787,부산광역시 북구청,부산광역시 북부경찰서,Y,3,5,2019-12-26
"초등학교",화정초교,부산광역시 북구 의성로 23(화명동),부산광역시 북구 화명동 898-15,35.2182061192,129.0099180565,부산광역시 북구청,부산광역시 북부경찰서,Y,1,9,2019-12-26
"초등학교",화잠초교,부산광역시 북구 화명대로 97-25(화명동),부산광역시 북구 화명동 732,35.23595457,129.0173951,부산광역시 북구청,부산광역시 북부경찰서,Y,1,9,2019-12-26
"초등학교",화명초교,부산광역시 북구 대천천길 65(화명동),부산광역시 북구 화명동 256,35.24227196,129.0180737,부산광역시 북구청,부산광역시 북부경찰서,Y,2,6,2019-12-26
"초등학교",학사초교,부산광역시 북구 용당로15번길 20(화명동),부산광역시 북구 화명동 2296,35.2314401,129.0080371,부산광역시 북구청,부산광역시 북부경찰서,Y,2,7,2019-12-26
"초등학교",포천초교,부산광역시 북구 시랑로 115(구포동),부산광역시 북구 구포동 1231,35.19664218,129.0091011,부산광역시 북구청,부산광역시 북부경찰서,Y,2,6,2019-12-26
