"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",가람유치원,"대구광역시 북구 칠곡중앙대로52길 20, 삼성아파트",대구광역시 북구 태전동 608-5,35.9198599022,128.5483610224,대구광역시 북구청,강북경찰서,Y,6,12,2019-12-17
"초등학교",강북초등,대구광역시 북구 구암서로 50,대구광역시 북구 구암동 785-1,35.9408343,128.566782,대구광역시 북구청,강북경찰서,Y,4,10,2019-12-17
"유치원",경전유치원,대구광역시 북구 복현로 11,대구광역시 북구 복현동 337-3,35.893506,128.6227636,대구광역시 북구청,북부경찰서,Y,4,10,2019-12-17
"초등학교",경진초등,대구광역시 북구 경진로12길 5,대구광역시 북구 복현동 447,35.8920277530,128.6170921999,대구광역시 북구청,북부경찰서,Y,5,8,2019-12-17
"초등학교",관남초등,대구광역시 북구 칠곡중앙대로91길 10,대구광역시 북구 관음동 1386-2,35.9368375851,128.5477879453,대구광역시 북구청,강북경찰서,Y,5,18,2019-12-17
"어린이집",관음어린이집,대구광역시 북구 관음중앙로22길 3,대구광역시 북구 관음동 190,35.9432277,128.5456811,대구광역시 북구청,강북경찰서,Y,7,8,2019-12-17
"초등학교",관음초등,대구광역시 북구 관음동로17길 16,대구광역시 북구 관음동 1340-1,35.9399209865,128.5471122798,대구광역시 북구청,강북경찰서,Y,5,7,2019-12-17
"초등학교",관천초등,대구광역시 북구 구암로22길 17,대구광역시 북구 태전동 999-2,35.9305641,128.5520482,대구광역시 북구청,강북경찰서,Y,5,12,2019-12-17
"초등학교",교동초등,대구광역시 북구 관음중앙로34길 4,대구광역시 북구 읍내동 1305,35.9447886,128.5494726,대구광역시 북구청,강북경찰서,Y,4,8,2019-12-17
"어린이집",구암어린이집,대구광역시 북구 구암로42길 13-20,대구광역시 북구 구암동 468,35.9302986,128.5630209,대구광역시 북구청,강북경찰서,Y,3,5,2019-12-17
"초등학교",구암초등,대구광역시 북구 학정로 245,대구광역시 북구 구암동 694-1,35.9281441561,128.5577585259,대구광역시 북구청,강북경찰서,Y,4,33,2019-12-17
"유치원",꿈동산유치원,대구광역시 북구 대불서길 33,대구광역시 북구 산격동 481-1,35.9022209540,128.6128453,대구광역시 북구청,북부경찰서,Y,5,6,2019-12-17
"어린이집",꿈요정어린이집→라온제나어린이집,대구광역시 북구 도남길 33-9,대구광역시 북구 국우동 696,35.9522319,128.5800568,대구광역시 북구청,강북경찰서,N,0,6,2019-12-17
"어린이집",나래영재어린이집,대구광역시 북구 대불서길 18-6,대구광역시 북구 산격동 485-8,35.9011924630,128.6145454,대구광역시 북구청,북부경찰서,Y,4,7,2019-12-17
