"시설종류",대상시설명,소재지도로명주소,경도(WGS84좌표),위도(WGS84좌표),관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,소재지지번주소,보호구역도로폭,데이터기준일자
"초등학교",고령초교,경상북도 고령군 대가야읍 왕정길10,128.262953,35.7261415,고령군청,고령경찰서,설치,3,경상북도 고령군 대가야읍 연조리 151,10,2016-10-31
"유치원",고령초교병설유치원,경상북도 고령군 대가야읍 왕정길10,128.262953,35.7261415,고령군청,고령경찰서,설치,3,경상북도 고령군 대가야읍 연조리 151,10,2016-10-31
"초등학교",쌍림초교,경상북도 고령군 쌍림면 귀원1길6,128.242295,35.6815979,고령군청,고령경찰서,설치,2,경상북도 고령군 쌍림면 귀원리 190,12,2016-10-31
"유치원",쌍림초교병설유치원,경상북도 고령군 쌍림면 귀원1길6,128.242295,35.6815979,고령군청,고령경찰서,설치,2,경상북도 고령군 쌍림면 귀원리 190,12,2016-10-31
"초등학교",박곡초교,경상북도 고령군 성산면 성암로125,128.3784737,35.763448,고령군청,고령경찰서,미설치,0,경상북도 고령군 성산면 박곡리 550,8,2016-10-31
"초등학교",다산초교,경상북도 고령군 다산면 다산로685-11,128.4514196,35.8241446,고령군청,고령경찰서,설치,1,경상북도 고령군 다산면 상곡리 122,16,2016-10-31
"유치원",다산초교병설유치원,경상북도 고령군 다산면 다산로685-11,128.4514196,35.8241446,고령군청,고령경찰서,설치,1,경상북도 고령군 다산면 상곡리 122,16,2016-10-31
"초등학교",운수초교,경상북도 고령군 운수면 운용로118,128.2912696,35.7700741,고령군청,고령경찰서,설치,3,경상북도 고령군 운수면 봉평리 797-1,8,2016-10-31
"유치원",운수초교병설유치원,경상북도 고령군 운수면 운용로118,128.2912696,35.7700741,고령군청,고령경찰서,설치,3,경상북도 고령군 운수면 봉평리 797-1,8,2016-10-31
"초등학교",덕곡초교,경상북도 고령군 덕곡면 덕운로548,128.2344359,35.7789945,고령군청,고령경찰서,설치,1,경상북도 고령군 덕곡면 예리 473,6,2016-10-31
"유치원",덕곡초교병설유치원,경상북도 고령군 덕곡면 덕운로548,128.2344359,35.7789945,고령군청,고령경찰서,설치,1,경상북도 고령군 덕곡면 예리 473,6,2016-10-31
"초등학교",우곡초교,경상북도 고령군 우곡면 객기나루길374,128.2329865,35.7793494,고령군청,고령경찰서,설치,2,경상북도 고령군 우곡면 연리 329,6.5,2016-10-31
"유치원",우곡초교병설유치원,경상북도 고령군 우곡면 객기나루길374,128.2329865,35.7793494,고령군청,고령경찰서,설치,2,경상북도 고령군 운수면 연리 329,6.5,2016-10-31
"초등학교",성산초교,경상북도 고령군 성산면 성산로902,128.3634283,35.7410624,고령군청,고령경찰서,설치,2,경상북도 고령군 성산면 어곡리 278,8,2016-10-31
"유치원",성산초교병설유치원,경상북도 고령군 성산면 성산로902,128.3634283,35.7410624,고령군청,고령경찰서,설치,2,경상북도 고령군 성산면 어곡리 278,8,2016-10-31
"초등학교",백산초교,경상북도 고령군 쌍림면 영서로3184,128.2418992,35.6797777,고령군청,고령경찰서,설치,3,경상북도 고령군 쌍림면 백산리 163,10,2016-10-31
