"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",영덕야성초등학교,경상북도 영덕군 영덕읍 덕곡길102,경상북도 영덕군 영덕읍 덕곡리162-1,36.4124173,129.3683983,경상북도 영덕군청,영덕경찰서,Y,7,6,2019-09-16
"초등학교",강구초등학교,경상북도 영덕군 강구면 나비산길8,경상북도 영덕군 강구면 오포리 601,36.3568622276,129.378478153,경상북도 영덕군청,영덕경찰서,Y,4,4,2019-09-16
"초등학교",남정초등학교,경상북도 영덕군 남정면 진불길15-6,경상북도 영덕군 남정면 장사리210-1,36.2837372299,129.372138727,경상북도 영덕군청,영덕경찰서,Y,1,6,2019-09-16
"초등학교",지품초등학교,경상북도 영덕군 지품면 지영로7-3,경상북도 영덕군 지품면 신안리102-3,36.4494345,129.2810346,경상북도 영덕군청,영덕경찰서,Y,2,4,2019-09-16
"초등학교",축산항초등학교,경상북도 영덕군 축산면 축산항초교길2,경상북도 영덕군 축산면 축산리187,36.5096824855,129.442303,경상북도 영덕군청,영덕경찰서,Y,1,5,2019-09-16
"초등학교",영해초등학교,경상북도 영덕군 영해면 예주5길38,경상북도 영덕군 영해면 성내리393,36.5383105884,129.412018187,경상북도 영덕군청,영덕경찰서,Y,6,6,2019-09-16
"초등학교",병곡초등학교,경상북도 영덕군 병곡면 병곡길77,경상북도 영덕군 병곡면 병곡리84-1,36.6024903,129.4096246,경상북도 영덕군청,영덕경찰서,Y,1,4,2019-09-16
"초등학교",원황초등학교,경상북도 영덕군 병곡면 원황길64,경상북도 영덕군 병곡면 원황리749,36.5693518,129.393401307,경상북도 영덕군청,영덕경찰서,Y,1,5,2019-09-16
"초등학교",창수초등학교,경상북도 영덕군 창수면 영양창수로3184,경상북도 영덕군 창수면 신기리106,36.5454976,129.3421254,경상북도 영덕군청,영덕경찰서,Y,1,5,2019-09-16
"초등학교",영덕공공도서관,경상북도 영덕군 영덕읍 군청길102,경상북도 영덕군 영덕읍 화개리87-8,36.4146774,129.3682573,경상북도 영덕군청,영덕경찰서,Y,3,5,2019-09-16
