"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",일산초교,울산광역시 동구 진성12길 11,울산광역시 동구 일산동 452,35.5051718,129.4255979,울산 동구청,울산동부경찰서,Y,4,8,2019-09-18
"유치원",일산초교병설유치원,울산광역시 동구 진성12길 11,울산광역시 동구 일산동 452,35.5051718,129.4255979,울산 동구청,울산동부경찰서,Y,4,8,2019-09-18
"초등학교",화정초교,울산광역시 동구 대송 9길 55,울산광역시 동구 대송동 153,35.5019895,129.4206975,울산 동구청,울산동부경찰서,Y,12,8,2019-09-18
"초등학교",상진초교,울산광역시 동구 봉수로 50,울산광역시 동구 화정동 894,35.4918819,129.4185866,울산 동구청,울산동부경찰서,Y,9,10,2019-09-18
"초등학교",동부초교,울산광역시 동구 남목 13길 23,울산광역시 동구 동부동 676,35.5451404,129.4275909,울산 동구청,울산동부경찰서,Y,7,10,2019-09-18
"초등학교",방어진초교,울산광역시 동구 꽃바위로 31,울산광역시 동구 방어동 146,35.4873269,129.4247691,울산 동구청,울산동부경찰서,Y,14,12,2019-09-18
"유치원",방어진초교병설유치원,울산광역시 동구 꽃바위로 31,울산광역시 동구 방어동 146,35.4873269,129.4247691,울산 동구청,울산동부경찰서,Y,9,12,2019-09-18
"초등학교",명덕초교,울산광역시 동구 진성14길 15,울산광역시 동구 일산동 433,35.506073,129.4244675,울산 동구청,울산동부경찰서,Y,6,8,2019-09-18
"유치원",명덕초교병설유치원,울산광역시 동구 진성14길 15,울산광역시 동구 일산동 433,35.506073,129.4244675,울산 동구청,울산동부경찰서,Y,3,8,2019-09-18
"초등학교",미포초교,울산광역시 동구 진성15길 35,울산광역시 동구 일산동 438,35.5063768,129.421836,울산 동구청,울산동부경찰서,Y,4,8,2019-09-18
"유치원",미포초교병설유치원,울산광역시 동구 진성15길 35,울산광역시 동구 일산동 438,35.5063768,129.421836,울산 동구청,울산동부경찰서,Y,4,8,2019-09-18
"초등학교",화진초교,울산광역시 동구 방어진순환도로 543,울산광역시 동구 방어동 75,35.491362,129.4256151,울산 동구청,울산동부경찰서,Y,10,8,2019-09-18
"유치원",화진초교병설유치원,울산광역시 동구 방어진순환도로 543,울산광역시 동구 방어동 75,35.491362,129.4256151,울산 동구청,울산동부경찰서,Y,10,8,2019-09-18
"초등학교",남목초교,울산광역시 동구 옥류로 33,울산광역시 동구 서부동 370,35.5423784,129.4249604,울산 동구청,울산동부경찰서,Y,13,8,2019-09-18
"유치원",남목초교병설유치원,울산광역시 동구 옥류로 33,울산광역시 동구 서부동 370,35.5423784,129.4249604,울산 동구청,울산동부경찰서,Y,8,8,2019-09-18
"초등학교",전하초교,울산광역시 동구 바드래길 55,울산광역시 동구 전하동 549-5,35.5155476,129.428144,울산 동구청,울산동부경찰서,Y,7,8,2019-09-18
"유치원",전하초교병설유치원,울산광역시 동구 바드래길 55,울산광역시 동구 전하동 549-5,35.5155476,129.428144,울산 동구청,울산동부경찰서,Y,7,8,2019-09-18
"초등학교",주전초교,울산광역시 동구 동해안로 575,울산광역시 동구 주전동 277,35.5579707,129.456906,울산 동구청,울산동부경찰서,Y,4,8,2019-09-18
"유치원",주전초교병설유치원,울산광역시 동구 동해안로 575,울산광역시 동구 주전동 277,35.5579707,129.456906,울산 동구청,울산동부경찰서,Y,4,8,2019-09-18
"초등학교",녹수초교,울산광역시 동구 봉수로 545,울산광역시 동구 서부동 257-10,35.5308584,129.4286697,울산 동구청,울산동부경찰서,Y,7,20,2019-09-18
"초등학교",서부초교,울산광역시 동구 봉수로 457,울산광역시 동구 서부동 238-13,35.526102,129.4230302,울산 동구청,울산동부경찰서,Y,8,20,2019-09-18
"초등학교",화암초교,울산광역시 동구 화문로 55,울산광역시 동구 방어동 1150,35.4842146,129.415683,울산 동구청,울산동부경찰서,Y,11,12,2019-09-18
"초등학교",양지초교,울산광역시 동구 양지6길 33,울산광역시 동구 화정동 853,35.4973289,129.4212272,울산 동구청,울산동부경찰서,Y,11,8,2019-09-18
"초등학교",문현초교,울산광역시 동구 꽃바위6길 25,울산광역시 동구 방어동 999,35.4806528,129.4140455,울산 동구청,울산동부경찰서,Y,6,8,2019-09-18
"유치원",백조유치원,울산광역시 동구 진성12길 124,울산광역시 동구 전하동 635-18,35.510984,129.427502,울산 동구청,울산동부경찰서,Y,2,6,2019-09-18
"유치원",사랑유치원,울산광역시 동구 양지3길 12,울산광역시 동구 화정동 850-4,35.497854,129.420326,울산 동구청,울산동부경찰서,Y,2,6,2019-09-18
"유치원",환희지유치원,울산광역시 동구 진성4가길 38,울산광역시 동구 전하동 683-2,35.510965,129.4293622,울산 동구청,울산동부경찰서,Y,6,6,2019-09-18
"유치원",하나유치원,울산광역시 동구 방어진순환도로 521,울산광역시 동구 방어동 466-10,35.489346,129.423848,울산 동구청,울산동부경찰서,Y,2,6,2019-09-18
"유치원",현대동부유치원,울산광역시 동구 안산로 50-1,울산광역시 동구 동부동 156,35.542845,129.433005,울산 동구청,울산동부경찰서,Y,4,6,2019-09-18
"유치원",현대서부유치원,울산광역시 동구 방어진순환도로 995,울산광역시 동구 서부동 257,35.52742906,129.4297368,울산 동구청,울산동부경찰서,Y,5,12,2019-09-18
"유치원",선미유치원,울산광역시 동구 월봉8길 30,울산광역시 동구 화정동 873-7,35.4929932,129.420166,울산 동구청,울산동부경찰서,Y,6,7,2019-09-18
"유치원",우주유치원,울산광역시 동구 옥류로 33,울산광역시 동구 서부동 493-15,35.5423784,129.4249604,울산 동구청,울산동부경찰서,Y,3,6,2019-09-18
"유치원",꽃바위유치원,울산광역시 동구 문현2길 41,울산광역시 동구 방어동 1121-2,35.487471,129.411229,울산 동구청,울산동부경찰서,Y,3,12,2019-09-18
"유치원",대성유치원,울산광역시 동구 대송2길 10,울산광역시 동구 화정동 162,35.49991066,129.4179328,울산 동구청,울산동부경찰서,Y,3,6,2019-09-18
"유치원",룸비니유치원,울산광역시 동구 월봉7가길 12,울산광역시 동구 화정동 877-7,35.491526,129.419376,울산 동구청,울산동부경찰서,Y,2,6,2019-09-18
"유치원",서라벌유치원,울산광역시 동구 바드래길 92-1,울산광역시 동구 전하동 300-217,35.516312,129.4269304,울산 동구청,울산동부경찰서,Y,3,5,2019-09-18
"유치원",그림마을유치원,울산광역시 동구 남목18길 28,울산광역시 동구 동부동 295-2,35.543366,129.427847,울산 동구청,울산동부경찰서,Y,4,6,2019-09-18
"유치원",화암자연과학유치원,울산광역시 동구 화잠7길 62,울산광역시 동구 방어동 976-3,35.484279,129.411595,울산 동구청,울산동부경찰서,Y,3,8,2019-09-18
"어린이집",현대중공업어린이집,울산광역시 동구 명덕로 27,울산광역시 동구 서부동 100-8,35.5224741,129.429793,울산 동구청,울산동부경찰서,Y,1,12,2019-09-18
